================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.1.101:54298        <-> 188.166.241.168:5201          1637 97 kB        6035 9107 kB      7672 9205 kB     753.166398000        11.7040
192.168.1.101:58353        <-> 188.166.241.168:5201          1771 106 kB       5855 8835 kB      7626 8941 kB      85.604257000        11.6847
192.168.1.101:58481        <-> 188.166.241.168:5201          1235 73 kB        6125 9243 kB      7360 9317 kB     169.012501000        11.6491
192.168.1.101:58564        <-> 188.166.241.168:5201          1090 65 kB        6215 9379 kB      7305 9444 kB     335.853959000        11.6781
192.168.1.101:54222        <-> 188.166.241.168:5201          1325 79 kB        5945 8971 kB      7270 9051 kB     669.668857000        11.6924
192.168.1.101:58529        <-> 188.166.241.168:5201          1313 78 kB        5951 8972 kB      7264 9050 kB     252.448160000        30.4006
192.168.1.101:57951        <-> 188.166.241.168:5201          1149 68 kB        5855 8835 kB      7004 8904 kB       1.139678000        11.7000
192.168.1.101:58609        <-> 188.166.241.168:5201           923 55 kB        5861 8836 kB      6784 8891 kB     419.308468000        30.3901
192.168.1.101:54142        <-> 188.166.241.168:5201           838 49 kB        5855 8835 kB      6693 8885 kB     586.208154000        11.7083
192.168.1.101:58352        <-> 188.166.241.168:5201            17 1267 bytes      14 1070 bytes      31 2337 bytes    84.476556000        13.4203
192.168.1.101:57950        <-> 188.166.241.168:5201            16 1212 bytes      14 1084 bytes      30 2296 bytes     0.000000000        12.8441
192.168.1.101:54141        <-> 188.166.241.168:5201            16 1213 bytes      14 1091 bytes      30 2304 bytes   585.062624000        12.8538
192.168.1.101:58478        <-> 188.166.241.168:5201            15 1158 bytes      14 1070 bytes      29 2228 bytes   167.902345000        12.7606
192.168.1.101:58526        <-> 188.166.241.168:5201            15 1138 bytes      14 1091 bytes      29 2229 bytes   251.300368000        12.8498
192.168.1.101:58563        <-> 188.166.241.168:5201            16 1207 bytes      13 1037 bytes      29 2244 bytes   334.707050000        12.8339
192.168.1.101:58608        <-> 188.166.241.168:5201            15 1156 bytes      14 1070 bytes      29 2226 bytes   418.154386000        12.8545
192.168.1.101:54221        <-> 188.166.241.168:5201            15 1159 bytes      14 1070 bytes      29 2229 bytes   668.536392000        12.8239
192.168.1.101:54296        <-> 188.166.241.168:5201            16 1213 bytes      13 1016 bytes      29 2229 bytes   752.019969000        12.8504
192.168.1.101:54110        <-> 188.166.241.168:5201             6 337 bytes       5 319 bytes      11 656 bytes   501.632426000         0.8347
================================================================================
